,Description,Balance(₦),Debit,Credit,Date,Time
673,OWealth Interest Earned,"2,273.30",0.0,0.78,2025-09-24,01:01:40
674,OWealth Withdrawal,"1,973.30",-300.0,0.0,2025-09-24,10:01:08
675,Unknown,"1,913.30",-60.0,0.0,2025-09-24,10:01:10
676,Unknown,913.30,-1000.0,0.0,2025-09-24,10:46:00
677,Unknown,713.30,-200.0,0.0,2025-09-24,10:46:01
678,Unknown,"1,963.30",0.0,1250.0,2025-09-24,13:48:08
679,Unknown,363.30,-1600.0,0.0,2025-09-24,16:12:02
680,Unknown,43.30,-320.0,0.0,2025-09-24,16:12:03
681,OWealth Interest Earned,43.39,0.0,0.09,2025-09-25,00:45:47
682,OWealth Interest Earned,43.48,0.0,0.09,2025-09-26,01:00:44
683,OWealth Interest Earned,43.57,0.0,0.09,2025-09-27,00:44:43
684,Unknown,"1,043.57",0.0,1000.0,2025-09-27,12:51:06
685,Unknown,"100,993.57",0.0,99950.0,2025-09-27,15:05:40
686,Unknown,"95,993.57",-5000.0,0.0,2025-09-27,19:15:59
687,Unknown,"94,993.57",-1000.0,0.0,2025-09-27,19:16:07
688,Unknown,"49,993.57",-45000.0,0.0,2025-09-27,19:16:33
689,Unknown,"40,993.57",-9000.0,0.0,2025-09-27,19:16:42
690,Unknown,"50,993.57",0.0,10000.0,2025-09-27,19:17:43
691,Unknown,993.57,-50000.0,0.0,2025-09-27,19:18:22
692,Unknown,"1,293.57",0.0,300.0,2025-09-27,19:19:26
693,OWealth Interest Earned,"1,293.66",0.0,0.09,2025-09-28,01:04:46
694,Unknown,293.66,-1000.0,0.0,2025-09-28,08:20:00
695,Unknown,93.66,-200.0,0.0,2025-09-28,08:20:03
696,OWealth Interest Earned,93.75,0.0,0.09,2025-09-29,00:46:07
697,Unknown,"5,093.75",0.0,5000.0,2025-09-29,09:06:20
698,Unknown,"5,193.75",0.0,100.0,2025-09-29,09:06:49
699,Unknown,93.75,-5100.0,0.0,2025-09-29,09:07:10
700,Unknown,43.75,-50.0,0.0,2025-09-29,10:17:43
